"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","15,75","15,61","16,16","13,94","","-0,57%"
"30.12.2024","15,84","16,83","19,68","15,28","","5,88%"
"27.12.2024","14,96","15,16","24,89","14,91","","4,25%"
"26.12.2024","14,35","14,91","20,65","14,28","","1,56%"
"24.12.2024","14,13","15,83","19,15","13,97","0,00K","-11,30%"
"23.12.2024","15,93","17,33","31,23","15,93","","-6,18%"
"20.12.2024","16,98","21,31","28,17","13,10","","-18,68%"
"19.12.2024","20,88","19,65","39,40","18,90","","-3,42%"
"18.12.2024","21,62","15,41","35,84","12,62","","40,76%"
"17.12.2024","15,36","15,09","15,86","13,56","","5,35%"
"16.12.2024","14,58","14,49","27,91","13,91","","2,39%"
"13.12.2024","14,24","13,88","14,78","11,67","","-0,07%"
"12.12.2024","14,25","14,02","15,85","11,11","","0,99%"
"11.12.2024","14,11","13,74","16,64","13,60","","-0,14%"
"10.12.2024","14,13","14,11","26,53","13,61","","0,14%"
"09.12.2024","14,11","13,76","19,34","13,52","","6,25%"
"06.12.2024","13,28","13,39","20,55","13,25","","-3,91%"
"05.12.2024","13,82","13,70","25,01","13,64","","0,73%"
"04.12.2024","13,72","13,46","22,61","13,33","","1,63%"
"03.12.2024","13,50","14,07","29,24","10,25","","-2,53%"
"02.12.2024","13,85","14,54","25,91","13,61","","-1,42%"
"29.11.2024","14,05","14,01","19,38","13,49","","0,50%"
"27.11.2024","13,98","14,04","16,57","12,80","","2,04%"
"26.11.2024","13,70","14,11","15,99","12,29","","-2,42%"
"25.11.2024","14,04","14,07","16,19","13,88","","1,37%"
"22.11.2024","13,85","14,39","23,47","12,71","","-5,40%"
"21.11.2024","14,64","14,16","24,95","14,05","","-1,48%"
"20.11.2024","14,86","14,73","21,69","14,65","","-0,13%"
"19.11.2024","14,88","15,06","22,31","14,28","","8,93%"
"18.11.2024","13,66","14,81","16,72","13,62","","-4,54%"
"15.11.2024","14,31","13,83","15,36","9,00","","8,08%"
"14.11.2024","13,24","13,93","18,11","11,51","","-4,89%"
"13.11.2024","13,92","14,34","20,66","12,21","","-3,13%"
"12.11.2024","14,37","15,04","30,29","13,85","","-3,75%"
"11.11.2024","14,93","10,84","16,86","1,31","","3,97%"
"08.11.2024","14,36","14,20","15,67","14,05","","0,14%"
"07.11.2024","14,34","15,24","23,09","14,10","","-8,43%"
"06.11.2024","15,66","15,10","24,34","14,54","","-14,98%"
"05.11.2024","18,42","19,83","22,51","17,81","","-8,18%"
"04.11.2024","20,06","20,45","22,01","19,91","","1,72%"
"01.11.2024","19,72","19,90","23,54","18,38","","33,97%"
"31.10.2024","14,72","20,37","33,60","13,97","","-22,93%"
"30.10.2024","19,10","18,79","25,62","18,20","","4,66%"
